食材名,翌日除外,翌3日除外
米,0,0
パン,1,0
中華麺・和麺,0,1
パスタ,0,1
牛肉,1,0
豚肉,1,0
鶏肉,1,0
加工肉,1,0
その他肉,0,1
魚,0,1
えび・いか・たこ・かに,0,1
たらこ・明太子,0,1
貝類,0,1
ツナ,0,1
しらす,0,1
練製品,0,1
卵,0,0
牛乳,0,0
ヨーグルト・チーズ,0,0
豆・大豆製品,0,0
いも類,1,0
玉ねぎ・ネギ,0,0
にんじん,0,0
キャベツ・白菜,0,0
大根・カブ,0,0
トマト・トマト缶,0,0
ピーマン・パプリカ,0,0
きゅうり,0,0
にら・春菊,0,0
なす,0,0
かぼちゃ,0,0
レタス,0,0
きのこ,0,0
ブロッコリー・カリフラワー,0,0
もやし,0,0
豆苗,0,0
水菜,0,0
ほうれん草・小松菜・チンゲンサイ,0,0
セロリ,0,0
アボカド,0,0
ごぼう・れんこん,0,0
オクラ,0,0
とうもろこし・コーン,0,0
アスパラガス,0,0
ズッキーニ,0,0
枝豆・いんげん,0,0
たけのこ,0,0
切り干し大根,0,0
キクラゲ,0,0
わかめ,0,0
ひじき,0,0
のり,0,0
こんにゃく,0,0
ごま,0,0